RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
394731,260,"Kahului, HI",Msa,HI,49.0,50.0,45.0,39.0,36.0,34.0,40.0,41.0,39.0,34.0,37.0,41.0,42.0,38.0,38.0,40.0,42.0,41.0,40.0,37.0,33.0,33.0,37.0,39.0,38.0,34.0,34.0,30.0,27.0,26.0,31.0,38.0,45.0,49.0,60.0,53.0,47.0,26.0,19.0,16.0,16.0,16.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0
394946,261,"Ottawa, IL",Msa,IL,72.0,56.0,41.0,37.0,37.0,38.0,41.0,48.0,56.0,57.0,65.0,72.0,67.0,48.0,31.0,30.0,35.0,39.0,42.0,44.0,51.0,55.0,63.0,69.0,71.0,63.0,52.0,42.0,35.0,27.0,25.0,25.0,32.0,38.0,46.0,47.0,41.0,26.0,14.0,9.0,10.0,11.0,12.0,15.0,19.0,27.0,34.0,41.0,32.0,21.0,9.0,10.0
395125,262,"State College, PA",Msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,12.0,13.0,14.0,21.0,24.0,39.0,41.0,40.0,26.0,14.0,10.0,6.0,8.0,8.0,9.0,8.0,9.0,11.0,11.0,9.0,6.0,6.0,6.0,6.0
394359,263,"Bangor, ME",Msa,ME,,,,,28.0,33.0,36.0,47.0,51.0,65.0,84.0,95.0,90.0,61.0,42.0,26.0,22.0,24.0,28.0,32.0,39.0,48.0,59.0,57.0,48.0,36.0,27.0,22.0,16.0,14.0,15.0,18.0,21.0,27.0,28.0,29.0,21.0,12.0,7.0,8.0,8.0,9.0,10.0,13.0,14.0,14.0,12.0,10.0,7.0,6.0,6.0,6.0
394314,264,"Alexandria, LA",Msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,11.0,12.0,12.0,11.0,12.0,14.0,15.0,15.0,13.0,10.0,7.0,6.0,7.0
394523,265,"Decatur, AL",Msa,AL,65.0,56.0,41.0,42.0,36.0,32.0,38.0,37.0,43.0,51.0,58.0,55.0,40.0,32.0,26.0,23.0,25.0,28.0,34.0,33.0,32.0,36.0,36.0,34.0,25.0,22.0,21.0,20.0,18.0,15.0,13.0,12.0,16.0,19.0,22.0,18.0,13.0,7.0,6.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,10.0,9.0,8.0,7.0,6.0,6.0
394662,266,"Hanford, CA",Msa,CA,27.0,22.0,24.0,27.0,32.0,30.0,29.0,29.0,36.0,45.0,46.0,42.0,33.0,26.0,22.0,21.0,21.0,23.0,24.0,23.0,28.0,29.0,33.0,26.0,21.0,19.0,15.0,13.0,9.0,8.0,8.0,7.0,8.0,10.0,10.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,11.0,14.0,15.0,19.0,16.0,15.0,9.0,9.0,11.0
394707,267,"Iowa City, IA",Msa,IA,44.0,37.0,33.0,36.0,40.0,40.0,45.0,47.0,59.0,73.0,80.0,82.0,62.0,48.0,35.0,37.0,36.0,39.0,39.0,47.0,52.0,67.0,79.0,87.0,68.0,53.0,39.0,46.0,46.0,44.0,44.0,44.0,49.0,58.0,62.0,54.0,37.0,28.0,19.0,12.0,4.0,6.0,9.0,12.0,14.0,17.0,15.0,11.0,5.0,3.0,3.0,4.0
395036,268,"Rocky Mount, NC",Msa,NC,70.0,53.0,39.0,34.0,37.0,46.0,52.0,57.0,53.0,49.0,47.0,50.0,49.0,43.0,38.0,35.0,31.0,29.0,27.0,29.0,42.0,53.0,57.0,45.0,31.0,27.0,24.0,22.0,15.0,10.0,8.0,7.0,9.0,10.0,11.0,9.0,9.0,7.0,6.0,5.0,6.0,6.0,9.0,9.0,10.0,11.0,17.0,16.0,12.0,6.0,7.0,7.0
394873,269,"Monroe, MI",Msa,MI,41.0,27.0,20.0,14.0,15.0,18.0,25.0,28.0,32.0,37.0,43.0,47.0,40.0,30.0,18.0,14.0,16.0,20.0,27.0,30.0,32.0,37.0,43.0,43.0,32.0,30.0,22.0,19.0,10.0,10.0,10.0,10.0,14.0,16.0,22.0,17.0,14.0,7.0,5.0,6.0,7.0,9.0,13.0,16.0,19.0,20.0,19.0,16.0,12.0,8.0,7.0,6.0
395223,270,"Wichita Falls, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,29.0,29.0,34.0,26.0,29.0,23.0,24.0
